Education	naics2	occp	pct	earn	FREQ
All education categories	Accommodation and Food Services	All occupations	0.071159784	22000	12719
All education categories	Administrative and Support and Waste Management and Remediation Services	All occupations	0.037075879	32000	7155
All education categories	Arts, Entertainment, and Recreation	All occupations	0.021388998	38000	4451
All education categories	Construction	All occupations	0.050960446	43000	9700
All education categories	Educational Services	All occupations	0.093061995	50000	21068
All education categories	Finance and Insurance	All occupations	0.088505382	99000	19356
All education categories	Health Care and Social Assistance	All occupations	0.164607888	39000	34534
All education categories	Information	All occupations	0.042541169	68000	9123
All education categories	Management of Companies and Enterprises	All occupations	0.000818753	69000	180
All education categories	Manufacturing	All occupations	0.037667442	39000	7841
All education categories	Other Services (except Public Administration)	All occupations	0.046070348	27000	9205
All education categories	Professional, Scientific, and Technical Services	All occupations	0.095353366	76000	20280
All education categories	Public Administration	All occupations	0.048305063	67000	10619
All education categories	Real Estate and Rental and Leasing	All occupations	0.029890094	45000	5807
All education categories	Retail Trade	All occupations	0.09150167	25000	17791
All education categories	Transportation and Warehousing	All occupations	0.053225244	45000	10994
All education categories	Utilities	All occupations	0.004353497	77000	1008
All education categories	Wholesale Trade	All occupations	0.023512982	46000	5090
Bachelor's or advanced degree	Accommodation and Food Services	All occupations	0.028120304	33000	2451
Bachelor's or advanced degree	Administrative and Support and Waste Management and Remediation Services	All occupations	0.020854459	50000	2025
Bachelor's or advanced degree	Arts, Entertainment, and Recreation	All occupations	0.024806376	51000	2416
Bachelor's or advanced degree	Construction	All occupations	0.018429808	67000	1868
Bachelor's or advanced degree	Educational Services	All occupations	0.142523594	61000	15039
Bachelor's or advanced degree	Finance and Insurance	All occupations	0.1470066	119000	14933
Bachelor's or advanced degree	Health Care and Social Assistance	All occupations	0.152110592	62000	15559
Bachelor's or advanced degree	Information	All occupations	0.066324343	77000	6626
Bachelor's or advanced degree	Management of Companies and Enterprises	All occupations	0.001239268	84000	123
Bachelor's or advanced degree	Manufacturing	All occupations	0.026981133	77000	2807
Bachelor's or advanced degree	Other Services (except Public Administration)	All occupations	0.030761716	49000	3215
Bachelor's or advanced degree	Professional, Scientific, and Technical Services	All occupations	0.163403862	84000	15986
Bachelor's or advanced degree	Public Administration	All occupations	0.050934678	78000	5430
Bachelor's or advanced degree	Real Estate and Rental and Leasing	All occupations	0.022831987	64000	2165
Bachelor's or advanced degree	Retail Trade	All occupations	0.056194047	51000	5341
Bachelor's or advanced degree	Transportation and Warehousing	All occupations	0.023014917	57000	2374
Bachelor's or advanced degree	Utilities	All occupations	0.00359155	86000	394
Bachelor's or advanced degree	Wholesale Trade	All occupations	0.020870764	68000	2168
High school or equivalent, no college	Accommodation and Food Services	All occupations	0.105084624	22000	3615
High school or equivalent, no college	Administrative and Support and Waste Management and Remediation Services	All occupations	0.057399037	27000	2065
High school or equivalent, no college	Arts, Entertainment, and Recreation	All occupations	0.017015635	27000	687
High school or equivalent, no college	Construction	All occupations	0.090755431	43000	3307
High school or equivalent, no college	Educational Services	All occupations	0.045572973	26000	1994
High school or equivalent, no college	Finance and Insurance	All occupations	0.031996433	47000	1339
High school or equivalent, no college	Health Care and Social Assistance	All occupations	0.170815717	28000	6645
High school or equivalent, no college	Information	All occupations	0.017436362	47000	703
High school or equivalent, no college	Manufacturing	All occupations	0.04691007	30000	1903
High school or equivalent, no college	Other Services (except Public Administration)	All occupations	0.066067919	23000	2427
High school or equivalent, no college	Professional, Scientific, and Technical Services	All occupations	0.028652873	44000	1221
High school or equivalent, no college	Public Administration	All occupations	0.032997929	46000	1388
High school or equivalent, no college	Real Estate and Rental and Leasing	All occupations	0.040512008	40000	1472
High school or equivalent, no college	Retail Trade	All occupations	0.124980837	22000	4632
High school or equivalent, no college	Transportation and Warehousing	All occupations	0.090748287	42000	3527
High school or equivalent, no college	Utilities	All occupations	0.005594374	74000	245
High school or equivalent, no college	Wholesale Trade	All occupations	0.027110823	34000	1093
Less than high school	Accommodation and Food Services	All occupations	0.182962236	19000	3348
Less than high school	Administrative and Support and Waste Management and Remediation Services	All occupations	0.06001224	21000	1198
Less than high school	Arts, Entertainment, and Recreation	All occupations	0.014880363	18000	316
Less than high school	Construction	All occupations	0.10979959	26000	2019
Less than high school	Educational Services	All occupations	0.028397013	22000	721
Less than high school	Finance and Insurance	All occupations	0.008004515	36000	207
Less than high school	Health Care and Social Assistance	All occupations	0.16164803	20000	3519
Less than high school	Information	All occupations	0.007719946	25000	180
Less than high school	Manufacturing	All occupations	0.071583474	20000	1483
Less than high school	Other Services (except Public Administration)	All occupations	0.082271066	17000	1605
Less than high school	Professional, Scientific, and Technical Services	All occupations	0.011398645	26000	270
Less than high school	Public Administration	All occupations	0.010026062	33000	248
Less than high school	Real Estate and Rental and Leasing	All occupations	0.034209239	31000	686
Less than high school	Retail Trade	All occupations	0.124686235	18000	2517
Less than high school	Transportation and Warehousing	All occupations	0.060402506	28000	1314
Less than high school	Wholesale Trade	All occupations	0.029987642	24000	642
Some college or Associate degree	Accommodation and Food Services	All occupations	0.075510117	24000	3305
Some college or Associate degree	Administrative and Support and Waste Management and Remediation Services	All occupations	0.041341596	33000	1867
Some college or Associate degree	Arts, Entertainment, and Recreation	All occupations	0.02136133	27000	1032
Some college or Associate degree	Construction	All occupations	0.054268083	53000	2506
Some college or Associate degree	Educational Services	All occupations	0.065174937	28000	3314
Some college or Associate degree	Finance and Insurance	All occupations	0.057712095	54000	2877
Some college or Associate degree	Health Care and Social Assistance	All occupations	0.185729689	36000	8811
Some college or Associate degree	Information	All occupations	0.032836014	56000	1614
Some college or Associate degree	Manufacturing	All occupations	0.035136855	43000	1648
Some college or Associate degree	Other Services (except Public Administration)	All occupations	0.042517255	28000	1958
Some college or Associate degree	Professional, Scientific, and Technical Services	All occupations	0.055783462	51000	2803
Some college or Associate degree	Public Administration	All occupations	0.074225643	64000	3553
Some college or Associate degree	Real Estate and Rental and Leasing	All occupations	0.032899242	44000	1484
Some college or Associate degree	Retail Trade	All occupations	0.117900742	21000	5301
Some college or Associate degree	Transportation and Warehousing	All occupations	0.078244822	51000	3779
Some college or Associate degree	Utilities	All occupations	0.00610955	71000	331
Some college or Associate degree	Wholesale Trade	All occupations	0.022667462	46000	1187
All education categories	Accommodation and Food Services	Building and grounds cleaning and maintenance	0.075228272	29000	1015
All education categories	Accommodation and Food Services	Business and financial operations	0.007532857	53000	115
All education categories	Accommodation and Food Services	Food preparation and serving related	0.62342853	21000	7621
All education categories	Accommodation and Food Services	Management	0.096127376	55000	1340
All education categories	Accommodation and Food Services	Office and administrative support	0.045167677	29000	643
All education categories	Accommodation and Food Services	Personal care and service	0.016035869	31000	206
All education categories	Accommodation and Food Services	Production	0.010059677	25000	131
All education categories	Accommodation and Food Services	Sales and related	0.0733843	13000	996
All education categories	Accommodation and Food Services	Transportation and material moving	0.035856583	17000	394
All education categories	Administrative and Support and Waste Management and Remediation Services	Building and grounds cleaning and maintenance	0.29934427	25000	1957
All education categories	Administrative and Support and Waste Management and Remediation Services	Business and financial operations	0.059325693	56000	435
